BLEURT,bleurt_text_score,bleurt_kg_score
text,-0.7910993099212646,-1.229116678237915
text,-0.696658730506897,-0.8397160768508911
kg,-0.2391028255224228,-0.1647905558347702
text,-0.5105533599853516,-0.6626956462860107
kg,-0.541936993598938,-0.5119493007659912
text,-0.7349652051925659,-1.0314762592315674
text,-1.109506368637085,-1.1117478609085083
kg,-1.025299072265625,-0.7476537227630615
kg,-0.804842472076416,-0.5195489525794983
text,-0.838895320892334,-0.9886585474014282
kg,-1.185380220413208,-1.1795806884765625
kg,-0.9258813858032227,-0.7019932270050049
kg,-1.1265089511871338,-1.0249059200286865
kg,-1.174387812614441,-1.0641930103302002
kg,-0.6965694427490234,-0.6638482809066772
text,-0.3363420367240906,-0.4062373638153076
text,-0.9518671035766602,-1.0159493684768677
kg,-1.0632668733596802,-0.9979934692382812
text,-1.1153762340545654,-1.288795828819275
kg,-1.0471389293670654,-0.9335651397705078
kg,-1.1703872680664062,-1.064758062362671
text,-0.40481168031692505,-0.4547378420829773
kg,-1.0568058490753174,-0.9304821491241455
text,-1.090390682220459,-1.1573569774627686
text,-0.6585342884063721,-1.0328447818756104
text,-0.7913954257965088,-0.8706271648406982
text,-1.3016974925994873,-1.4005051851272583
text,-0.9818583726882935,-0.9926320314407349
kg,-1.2522094249725342,-1.0025017261505127
kg,-1.0587456226348877,-1.0317689180374146
kg,-0.8277042508125305,-0.7210196256637573
kg,-1.169523000717163,-1.1666512489318848
text,-0.7569780349731445,-0.8337227702140808
text,-1.2106213569641113,-1.2788509130477905
text,-0.576489269733429,-0.8282435536384583
kg,-1.367856740951538,-1.2765781879425049
kg,-0.5839188694953918,-0.5466727018356323
text,-1.1544297933578491,-1.3778090476989746
text,-0.9556665420532227,-1.246605634689331
text,-0.9112645387649536,-1.0631903409957886
kg,-0.9389748573303223,-0.8517758846282959
kg,-1.3160954713821411,-1.2419469356536865
text,-0.905637264251709,-1.1296535730361938
text,-0.771431565284729,-1.039734125137329
text,-0.5078624486923218,-1.0401142835617065
text,-1.1570067405700684,-1.3066693544387817
text,-1.1233278512954712,-1.3205842971801758
text,-0.7817113399505615,-0.9387128353118896
text,-0.909709095954895,-1.0389267206192017
text,-0.6099758744239807,-0.7837970852851868
text,-1.1681268215179443,-1.2141599655151367
kg,-0.9767353534698486,-0.9091300964355469
kg,-0.9122000932693481,-0.8005077838897705
text,-0.8151995539665222,-1.2848610877990723
text,-0.3913910388946533,-0.8398910760879517
kg,-0.8098354339599609,-0.7382326126098633
kg,-0.8238760232925415,-0.707635760307312
text,-0.9503806829452515,-1.0489447116851807
kg,-1.2346303462982178,-1.0971381664276123
text,-0.870614767074585,-0.9703648090362549
kg,-0.9915714263916016,-0.9448268413543701
kg,-1.3889174461364746,-1.2628048658370972
text,-1.2668458223342896,-1.2891206741333008
kg,-1.3001154661178589,-1.2271184921264648
kg,-1.1229829788208008,-1.097604751586914
text,-1.2557414770126343,-1.256690263748169
text,-1.0454353094100952,-1.3153891563415527
text,-1.0211533308029175,-1.234083890914917
kg,-1.0551481246948242,-0.8322537541389465
text,-0.8377148509025574,-1.0230188369750977
text,-0.36924266815185547,-0.9610862731933594
text,-1.1237156391143799,-1.1329188346862793
kg,-0.6509847044944763,-0.6275714635848999
text,-1.0834434032440186,-1.1894869804382324
kg,-1.2339855432510376,-1.1089555025100708
text,-1.127573013305664,-1.14103102684021
text,-1.1794641017913818,-1.2670221328735352
kg,-1.146379828453064,-1.0059818029403687
text,-1.1403138637542725,-1.2542096376419067
text,-1.180518388748169,-1.2373331785202026
text,-1.0286648273468018,-1.097059726715088
text,-0.6645673513412476,-0.6926885843276978
text,-0.5617083311080933,-1.0978925228118896
text,-0.7828260660171509,-1.1616458892822266
text,-0.7526756525039673,-1.1020238399505615
kg,-0.7629299163818359,-0.5381100177764893
text,-0.7997861504554749,-1.0283708572387695
kg,-0.8390814065933228,-0.8277454972267151
text,-1.154195785522461,-1.1781115531921387
text,-1.1459355354309082,-1.198775291442871
text,-0.9950344562530518,-1.0500401258468628
text,-0.5310423374176025,-0.920172929763794
kg,-1.3098831176757812,-1.067704677581787
text,-1.2650983333587646,-1.2807917594909668
kg,-0.7241918444633484,-0.5792797803878784
text,-0.8050612211227417,-1.1550841331481934
kg,-1.0761107206344604,-0.867385983467102
kg,-1.230069637298584,-1.2199311256408691
text,-1.292612910270691,-1.312103271484375
text,-1.083986759185791,-1.2122735977172852
text,-1.097404956817627,-1.36734139919281
text,-1.101574182510376,-1.2625951766967773
text,-1.035573959350586,-1.2329838275909424
text,-1.2101027965545654,-1.2761048078536987
text,-1.1807670593261719,-1.2339606285095215
kg,-0.7905884981155396,-0.5900234580039978
text,-0.9902689456939697,-1.0326706171035767
text,-1.0923621654510498,-1.1036691665649414
kg,-1.1858868598937988,-1.1288625001907349
text,-0.8498778343200684,-0.9126535654067993
kg,-0.7276563048362732,-0.572571873664856
kg,-0.8432853817939758,-0.7077018618583679
text,-0.978809118270874,-1.0043013095855713
text,-1.134709119796753,-1.138659954071045
kg,-1.0672049522399902,-0.9878337383270264
text,-1.0935975313186646,-1.2644492387771606
text,-0.4800306558609009,-0.7566616535186768
text,-0.5456106662750244,-0.8882601261138916
kg,-1.2096242904663086,-1.0971581935882568
kg,-1.1102066040039062,-1.1041903495788574
text,-0.5552071332931519,-0.997464656829834
text,-0.2571474313735962,-1.1758304834365845
kg,-1.1082210540771484,-1.0891684293746948
kg,-0.9040539264678955,-0.7100408673286438
text,-1.1331868171691895,-1.2688894271850586
kg,-1.2776128053665161,-1.1861953735351562
text,-0.9602351188659668,-1.1376899480819702
text,-1.208709955215454,-1.4022941589355469
kg,-1.07536780834198,-0.8173772096633911
kg,-0.7784807682037354,-0.6865195035934448
text,-0.8924424648284912,-1.029024600982666
kg,-1.376995325088501,-1.2605493068695068
text,-0.932769775390625,-0.9813876152038574
kg,-0.6623381972312927,-0.5827919244766235
kg,-0.7570115327835083,-0.7045575380325317
kg,-0.9690570831298828,-0.7704963088035583
text,-0.8515794277191162,-0.9716280698776245
kg,-0.7510084509849548,-0.7169246077537537
text,-0.9712923765182495,-1.2954800128936768
text,-0.9696433544158936,-1.2526068687438965
text,-1.0497634410858154,-1.0999982357025146
kg,-0.5746912956237793,-0.43284040689468384
text,-0.9906414747238159,-1.010528564453125
text,-0.9911887645721436,-1.1051177978515625
kg,-0.862247109413147,-0.8566064834594727
text,-0.6553843021392822,-1.0082944631576538
kg,-0.34840065240859985,-0.27050352096557617
text,-0.7692776918411255,-1.3179683685302734
text,-0.6645315885543823,-1.013857364654541
kg,-1.2025585174560547,-0.958430290222168
text,-1.0008012056350708,-1.1336696147918701
text,-0.6961365938186646,-0.8533213138580322
kg,-0.8981412649154663,-0.7277609705924988
kg,-1.112056851387024,-0.9943089485168457
kg,-0.9203495979309082,-0.7154132127761841
text,-0.9036922454833984,-1.1077743768692017
text,-0.6799174547195435,-0.6894201040267944
text,-1.1243306398391724,-1.1397900581359863
kg,-0.8936324119567871,-0.7117512226104736
text,-0.8822846412658691,-1.2647624015808105
text,-1.0592652559280396,-1.3714441061019897
kg,-1.0251028537750244,-0.9039525985717773
text,-0.6841842532157898,-0.7381680011749268
text,-0.9638336896896362,-0.9794106483459473
text,-0.5789275765419006,-0.8020272254943848
kg,-1.2602688074111938,-1.1929011344909668
kg,-1.1052381992340088,-1.0310672521591187
kg,-1.1326537132263184,-1.0654854774475098
text,-0.9603320360183716,-1.161950707435608
text,-0.7908859848976135,-1.1151235103607178
text,-0.4617816209793091,-0.8635077476501465
text,-0.857742428779602,-0.9697674512863159
text,-0.8130598068237305,-1.215930461883545
text,-0.7765945196151733,-0.8220962285995483
text,-1.105756402015686,-1.1925082206726074
text,-1.08306086063385,-1.1850364208221436
text,-0.8514969348907471,-0.9134713411331177
text,-1.0479154586791992,-1.2145235538482666
kg,-0.6067618727684021,-0.3253135681152344
kg,-0.8990895748138428,-0.567177951335907
kg,-0.4330453872680664,-0.1487085372209549
kg,-1.2538185119628906,-0.9958968162536621
text,-0.8097161650657654,-1.363215446472168
kg,-1.0709397792816162,-0.688399076461792
text,-0.9487415552139282,-1.2341814041137695
kg,-1.1868679523468018,-1.1188603639602661
text,-0.6013932228088379,-0.8815784454345703
text,0.11596278846263885,-0.48449820280075073
text,-0.7935877442359924,-1.3281185626983643
kg,-0.9863966703414917,-0.7727102637290955
kg,-0.35969871282577515,-0.2740634083747864
kg,-0.8662769794464111,-0.46528249979019165
kg,-1.2278263568878174,-0.8039010763168335
kg,-0.2728269100189209,0.4499797821044922
text,-0.35157179832458496,-0.713787317276001
text,-0.7504417300224304,-0.9906179904937744
text,-0.8652925491333008,-1.1147509813308716
text,-0.4012877941131592,-0.7124547958374023
text,-0.4154701232910156,-0.49242568016052246
text,-0.9599651098251343,-1.0304168462753296
text,-0.808186948299408,-1.175183653831482
text,-0.5551414489746094,-0.5955457091331482
text,-0.16277946531772614,-0.55411696434021
kg,-0.771158754825592,-0.528822660446167
text,-0.770943284034729,-0.8798383474349976
kg,-1.0422658920288086,-0.7246718406677246
text,-0.6596477031707764,-0.9080426692962646
text,-0.46939390897750854,-0.5313092470169067
kg,-0.6128144264221191,-0.5995917916297913
text,-0.38141024112701416,-0.6046390533447266
kg,-0.7338157892227173,-0.04278139770030975
kg,-0.9769080877304077,-0.8736412525177002
text,-0.3875970244407654,-0.7361353635787964
text,-0.5857462882995605,-0.7760825157165527
text,-0.4272141456604004,-0.6000000834465027
kg,-1.104247808456421,-0.7830186486244202
text,-0.730965793132782,-0.8394960165023804
text,-0.5092828273773193,-0.6042854189872742
text,-0.6967280507087708,-0.7666662931442261
text,-0.6174162030220032,-0.8827615976333618
text,-0.9901638031005859,-1.0254424810409546
kg,-0.26845306158065796,-0.05622120201587677
kg,-0.6316672563552856,-0.5802246928215027
text,-0.9303953647613525,-1.0230886936187744
text,-0.8908271789550781,-1.0408660173416138
kg,-1.0971159934997559,-1.073860764503479
text,-1.1633604764938354,-1.1750813722610474
text,-0.47600674629211426,-0.543635368347168
text,-1.3579223155975342,-1.4620846509933472
text,-1.051760196685791,-1.115577220916748
text,-0.8924634456634521,-0.986333966255188
text,-0.8724298477172852,-1.0424458980560303
kg,-1.2732735872268677,-1.1800439357757568
text,-1.0271985530853271,-1.1190714836120605
kg,-1.0669355392456055,-0.8848333358764648
kg,-1.1389693021774292,-1.1199381351470947
text,-0.7711895704269409,-1.0296385288238525
kg,-1.1135025024414062,-0.988905668258667
text,-0.7169715166091919,-1.0760942697525024
text,-0.518822968006134,-0.5572821497917175
kg,-1.1320226192474365,-0.5704001784324646
text,-0.8426038026809692,-1.0190790891647339
text,-1.2742522954940796,-1.3133068084716797
text,-0.8199664950370789,-1.0399234294891357
text,-0.8765919208526611,-1.0016138553619385
text,-0.9843298196792603,-1.1412806510925293
kg,-0.8932201862335205,-0.7050904035568237
kg,-1.1992913484573364,-0.8019511103630066
kg,-1.0647485256195068,-1.030646800994873
kg,-1.179925799369812,-1.1287280321121216
kg,-1.0432082414627075,-1.0222158432006836
text,-0.728487491607666,-0.8130853772163391
text,-0.8315810561180115,-0.9015426635742188
kg,-0.14058612287044525,-0.09370541572570801
kg,-0.8440706729888916,-0.6669868230819702
kg,-0.9120022058486938,-0.8508915901184082
kg,-0.5521599054336548,-0.4439808130264282
text,0.003443196415901184,-0.09767736494541168
text,-0.7588115930557251,-0.8869609832763672
text,-0.6232683658599854,-0.8888335227966309
kg,-1.1078754663467407,-0.8796366453170776
text,-1.2422761917114258,-1.2574453353881836
kg,-1.0715696811676025,-0.8299251198768616
text,-0.48653995990753174,-0.7669376134872437
kg,-0.7361109852790833,-0.6851919293403625
text,-0.8704540729522705,-1.17795729637146
text,-0.5596113801002502,-1.001806616783142
text,-0.7929292321205139,-0.8159379959106445
kg,-0.6252939701080322,-0.45793867111206055
kg,-0.7594107389450073,-0.5917295217514038
text,-0.9387180805206299,-0.9567816257476807
kg,-0.9223518371582031,-0.7770150899887085
kg,-0.9829400777816772,-0.789012610912323
kg,-0.6465059518814087,-0.4895761013031006
text,-0.8996167182922363,-0.9820317029953003
text,-0.8299715518951416,-0.8672291040420532
total_count,165,111
